filename,duration,sample_rate,channels,RMS,SNR,detected_language,language_probabilities,raw_model_score,calibrated_score,final_classification,confidence,processing_latency
libri_genuine.wav,14.43,16000,1,0.141667,3.97 dB,Uncertain,Uncertain: 0.13,0.0000,0.0590,genuine,0.0590,468.21 ms
libri_genuine_1.wav,14.84,16000,1,0.112093,51.79 dB,Uncertain,Uncertain: 0.13,0.0000,0.0590,genuine,0.0590,252.55 ms
libri_genuine_2.wav,16.75,16000,1,0.078501,45.21 dB,Uncertain,Uncertain: 0.21,0.0000,0.0590,genuine,0.0590,263.45 ms
libri_genuine_3.wav,13.91,16000,1,0.037653,24.22 dB,en,en: 0.87,0.0000,0.0590,genuine,0.0590,145.31 ms
libri_genuine_extra_1.wav,25.03,16000,1,0.043381,-4.06 dB,Uncertain,Uncertain: 0.20,0.0000,0.0590,genuine,0.0590,276.65 ms
libri_genuine_extra_2.wav,132.99,16000,1,0.142480,77.84 dB,en,en: 0.45,0.0000,0.0590,genuine,0.0590,1306.99 ms
libri_genuine_extra_3.wav,5.33,16000,1,0.076593,-5.01 dB,Uncertain,Uncertain: 0.19,0.4524,0.4335,genuine,0.4335,57.55 ms
libri_genuine_extra_4.wav,5.33,16000,1,0.076593,-5.01 dB,Uncertain,Uncertain: 0.19,0.4524,0.4335,genuine,0.4335,40.04 ms
libri_genuine_extra_5.wav,45.84,16000,1,0.072443,72.32 dB,Uncertain,Uncertain: 0.23,0.0001,0.0590,genuine,0.0590,409.02 ms
libri_genuine_extra_6.wav,119.88,16000,1,0.064116,71.28 dB,Uncertain,Uncertain: 0.15,0.0000,0.0590,genuine,0.0590,1069.42 ms
libri_spoof.wav,14.43,16000,1,0.067850,1.52 dB,Uncertain,Uncertain: 0.23,1.0000,0.9405,spoof,0.9405,139.67 ms
libri_spoof_1.wav,14.84,16000,1,0.073246,73.57 dB,Uncertain,Uncertain: 0.23,1.0000,0.9405,spoof,0.9405,208.42 ms
libri_spoof_2.wav,16.75,16000,1,0.050023,63.58 dB,Uncertain,Uncertain: 0.28,1.0000,0.9405,spoof,0.9405,245.66 ms
libri_spoof_3.wav,13.91,16000,1,0.047680,32.37 dB,Uncertain,Uncertain: 0.26,1.0000,0.9405,spoof,0.9405,131.55 ms
libri_spoof_extra_1.wav,25.03,16000,1,0.087027,2.15 dB,Uncertain,Uncertain: 0.25,1.0000,0.9405,spoof,0.9405,244.24 ms
libri_spoof_extra_2.wav,132.99,16000,1,0.055789,76.52 dB,Uncertain,Uncertain: 0.33,0.9988,0.9402,spoof,0.9402,1458.88 ms
libri_spoof_extra_3.wav,5.33,16000,1,0.060148,-2.47 dB,Uncertain,Uncertain: 0.18,0.9982,0.9400,spoof,0.9400,55.20 ms
libri_spoof_extra_4.wav,5.33,16000,1,0.060148,-2.47 dB,Uncertain,Uncertain: 0.18,0.9982,0.9400,spoof,0.9400,34.71 ms
libri_spoof_extra_5.wav,45.84,16000,1,0.046494,74.98 dB,Uncertain,Uncertain: 0.23,0.9981,0.9400,spoof,0.9400,394.58 ms
libri_spoof_extra_6.wav,119.88,16000,1,0.048387,75.71 dB,Uncertain,Uncertain: 0.16,0.6879,0.7380,spoof,0.7380,1124.79 ms
english_ai_tts.wav,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA
hindi_genuine.wav,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA
hindi_ai_tts.wav,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA
marathi_genuine.wav,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA
marathi_ai_tts.wav,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA,INSUFFICIENT TEST DATA
